▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.68.115:3000
- Environments: .env.local
✓ Ready in 2.4s

 GET / 200 in 1928ms (next.js: 452ms, proxy.ts: 471ms, application-code: 1006ms)
 GET /api/custom-dashboard/resolve?hostname=localhost 200 in 568ms (next.js: 446ms, proxy.ts: 35ms, application-code: 87ms)
 GET /api/stats 200 in 2.6s (next.js: 614ms, proxy.ts: 34ms, application-code: 1924ms)
 GET /api/auth/session 200 in 2.9s (next.js: 2.8s, proxy.ts: 33ms, application-code: 61ms)
 GET /api/posts 200 in 504ms (next.js: 94ms, proxy.ts: 15ms, application-code: 396ms)
 GET / 200 in 636ms (next.js: 94ms, proxy.ts: 48ms, application-code: 495ms)
 GET /api/custom-dashboard/resolve?hostname=localhost 200 in 521ms (next.js: 302ms, proxy.ts: 145ms, application-code: 74ms)
 GET /api/auth/session 200 in 779ms (next.js: 520ms, proxy.ts: 206ms, application-code: 53ms)
 GET /api/stats 200 in 1294ms (next.js: 149ms, proxy.ts: 157ms, application-code: 988ms)
 GET /api/posts 200 in 508ms (next.js: 63ms, proxy.ts: 50ms, application-code: 394ms)
 GET /dashboard 200 in 882ms (next.js: 372ms, proxy.ts: 59ms, application-code: 451ms)
 GET /api/auth/session 200 in 194ms (next.js: 77ms, proxy.ts: 33ms, application-code: 84ms)
 GET /api/guilds 200 in 5.0s (next.js: 980ms, proxy.ts: 33ms, application-code: 4.0s)
 GET /api/user/permissions?serverId=1466707936591089737 403 in 870ms (next.js: 314ms, proxy.ts: 58ms, application-code: 498ms)
 GET /api/user/permissions?serverId=1416278735698657343 200 in 1178ms (next.js: 203ms, proxy.ts: 53ms, application-code: 923ms)
 GET /api/user/permissions?serverId=1467241339140968558 200 in 1707ms (next.js: 249ms, proxy.ts: 58ms, application-code: 1399ms)
 GET /dashboard/1467241339140968558/live-panel 200 in 5.1s (next.js: 4.8s, proxy.ts: 30ms, application-code: 259ms)
 GET /api/custom-dashboard/resolve?hostname=localhost 200 in 118ms (next.js: 44ms, proxy.ts: 51ms, application-code: 23ms)
 GET /api/ping?ts=1782371510994 200 in 310ms (next.js: 228ms, proxy.ts: 51ms, application-code: 31ms)
 GET /api/custom-dashboard/resolve?hostname=localhost 200 in 338ms (next.js: 276ms, proxy.ts: 41ms, application-code: 22ms)
 GET /api/ping?ts=1782371510995 200 in 374ms (next.js: 301ms, proxy.ts: 37ms, application-code: 35ms)
 GET /api/stats 200 in 727ms (next.js: 15ms, proxy.ts: 24ms, application-code: 688ms)
 GET /api/posts 200 in 385ms (next.js: 31ms, proxy.ts: 33ms, application-code: 322ms)
 GET /api/guilds 200 in 5.1s (next.js: 77ms, proxy.ts: 49ms, application-code: 5.0s)
 GET /api/user/permissions?serverId=1467241339140968558 200 in 902ms (next.js: 55ms, proxy.ts: 27ms, application-code: 821ms)
 GET /api/custom-dashboard/1467241339140968558 200 in 5.8s (next.js: 4.4s, proxy.ts: 180ms, application-code: 1213ms)
 GET /api/custom-dashboard/1467241339140968558 200 in 5.6s (next.js: 4.4s, proxy.ts: 46ms, application-code: 1219ms)
 GET /api/guilds 200 in 4.4s (next.js: 28ms, proxy.ts: 26ms, application-code: 4.4s)
 GET /api/user/permissions?serverId=1467241339140968558 200 in 1272ms (next.js: 60ms, proxy.ts: 84ms, application-code: 1129ms)
 GET /api/guilds 500 in 1680ms (next.js: 567ms, proxy.ts: 106ms, application-code: 1008ms)
 GET /api/dashboard/modules?serverId=1467241339140968558 200 in 2.4s (next.js: 412ms, proxy.ts: 77ms, application-code: 1950ms)
 GET /api/dashboard/custom-dashboard?serverId=1467241339140968558 404 in 2.9s (next.js: 584ms, proxy.ts: 78ms, application-code: 2.3s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 4.2s (next.js: 256ms, proxy.ts: 96ms, application-code: 3.9s)
 GET /api/dashboard/modules?serverId=1467241339140968558 200 in 2.8s (next.js: 17ms, proxy.ts: 22ms, application-code: 2.7s)
 GET /api/guilds 200 in 4.6s (next.js: 73ms, proxy.ts: 88ms, application-code: 4.5s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 4.8s (next.js: 611ms, proxy.ts: 64ms, application-code: 4.2s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.5s (next.js: 30ms, proxy.ts: 28ms, application-code: 2.5s)
 GET /api/ping?ts=1782371541268 200 in 216ms (next.js: 23ms, proxy.ts: 26ms, application-code: 166ms)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 5.6s (next.js: 38ms, proxy.ts: 21ms, application-code: 5.6s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.6s (next.js: 22ms, proxy.ts: 16ms, application-code: 2.6s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.7s (next.js: 17ms, proxy.ts: 43ms, application-code: 2.7s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 3.0s (next.js: 10ms, proxy.ts: 13ms, application-code: 3.0s)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.6s (next.js: 9ms, proxy.ts: 16ms, application-code: 2.6s)
 GET /api/reports?serverId=1467241339140968558&status=PENDING 200 in 1217ms (next.js: 98ms, proxy.ts: 21ms, application-code: 1098ms)
 GET /api/ping?ts=1782371570996 200 in 34ms (next.js: 7ms, proxy.ts: 15ms, application-code: 13ms)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.7s (next.js: 11ms, proxy.ts: 8ms, application-code: 2.7s)
 GET /api/reports/15da00ed-808d-437a-a918-3a2f432b418c/context?serverId=1467241339140968558 200 in 5.5s (next.js: 2.8s, proxy.ts: 24ms, application-code: 2.7s)
 GET /api/stats 200 in 557ms (next.js: 32ms, proxy.ts: 22ms, application-code: 503ms)
 GET /api/posts 200 in 359ms (next.js: 17ms, proxy.ts: 14ms, application-code: 327ms)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.8s (next.js: 17ms, proxy.ts: 12ms, application-code: 2.8s)
 GET /api/proxy?username=NOOBJamie12345&serverId=1467241339140968558 200 in 2.0s (next.js: 886ms, proxy.ts: 17ms, application-code: 1119ms)
 GET /api/dashboard/user-profile?serverId=1467241339140968558&robloxUsername=NOOBJamie12345 200 in 3.5s (next.js: 1493ms, proxy.ts: 28ms, application-code: 1997ms)
 GET /api/dashboard/staff-notes?serverId=1467241339140968558&robloxUsername=NOOBJamie12345&robloxId=2692643028&discordId=953414442060746854 200 in 2.8s (next.js: 1249ms, proxy.ts: 100ms, application-code: 1459ms)
 GET /api/dashboard/logs?serverId=1467241339140968558&limit=120&target=NOOBJamie12345&target=953414442060746854&target=2692643028 200 in 3.0s (next.js: 381ms, proxy.ts: 91ms, application-code: 2.5s)
 GET /api/reports?serverId=1467241339140968558&status=PENDING 200 in 1118ms (next.js: 25ms, proxy.ts: 29ms, application-code: 1064ms)
 GET /api/dashboard/live-panel?serverId=1467241339140968558&cleanupStale=true 200 in 2.6s (next.js: 39ms, proxy.ts: 13ms, application-code: 2.6s)
